Positive,Negative,Neutral,adj_price,close_price
0.091,0.154,0.755,12469.971875,12469.971875
0.091,0.121,0.787,12472.245703,12472.245703
0.068,0.195,0.737,12474.519531,12474.519531
0.061,0.128,0.812,12480.69043,12480.69043
0.08,0.12,0.8,12398.009766,12398.009766
0.091,0.129,0.78,12406.503255333333,12406.503255333333
0.069,0.182,0.749,12414.996744666667,12414.996744666667
0.094,0.107,0.799,12423.490234,12423.490234
0.052,0.095,0.852,12416.599609,12416.599609
0.12,0.137,0.744,12442.160156,12442.160156
0.056,0.123,0.821,12514.980469,12514.980469
0.062,0.12,0.818,12556.080078,12556.080078
0.082,0.199,0.719,12562.7075195,12562.7075195
0.118,0.17,0.712,12569.334961,12569.334961
0.079,0.089,0.832,12575.9624025,12575.9624025
0.083,0.115,0.802,12582.589844,12582.589844
0.078,0.171,0.75,12577.150391,12577.150391
0.087,0.21,0.704,12567.929688,12567.929688
0.066,0.114,0.82,12565.530273,12565.530273
0.088,0.13,0.782,12536.073567333333,12536.073567333333
0.079,0.138,0.783,12506.616861666667,12506.616861666667
0.096,0.098,0.806,12477.160156,12477.160156
0.066,0.148,0.786,12533.799805,12533.799805
0.104,0.14,0.757,12621.769531,12621.769531
0.127,0.183,0.69,12502.55957,12502.55957
0.057,0.103,0.84,12487.019531,12487.019531
0.066,0.125,0.81,12488.273111666667,12488.273111666667
0.093,0.15,0.758,12489.526692333333,12489.526692333333
0.119,0.137,0.744,12490.780273,12490.780273
0.093,0.169,0.738,12523.30957,12523.30957
0.153,0.13,0.717,12621.69043,12621.69043
0.096,0.145,0.759,12673.679688,12673.679688
0.111,0.163,0.726,12653.490234,12653.490234
0.122,0.202,0.676,12656.240234,12656.240234
0.107,0.149,0.744,12658.990234,12658.990234
0.064,0.213,0.723,12661.740234,12661.740234
0.093,0.178,0.728,12666.30957,12666.30957
0.105,0.162,0.733,12666.870117,12666.870117
0.092,0.109,0.8,12637.629883,12637.629883
0.069,0.169,0.761,12580.830078,12580.830078
0.096,0.149,0.756,12571.403320333335,12571.403320333335
0.09,0.105,0.805,12561.976562666667,12561.976562666667
0.081,0.098,0.821,12552.549805,12552.549805
0.078,0.141,0.781,12654.849609,12654.849609
0.089,0.184,0.727,12741.860352,12741.860352
0.093,0.168,0.739,12765.009766,12765.009766
0.122,0.188,0.69,12767.570312,12767.570312
0.085,0.231,0.684,12772.337646,12772.337646
0.104,0.216,0.68,12777.10498,12777.10498
0.056,0.169,0.775,12781.872314,12781.872314
0.114,0.116,0.771,12786.639648,12786.639648
0.07,0.146,0.784,12738.410156,12738.410156
0.087,0.146,0.768,12686.019531,12686.019531
0.098,0.169,0.733,12647.480469,12647.480469
0.076,0.123,0.8,12642.406901333336,12642.406901333336
0.123,0.135,0.742,12637.333333666666,12637.333333666666
0.083,0.072,0.845,12632.259766,12632.259766
0.073,0.133,0.793,12216.240234,12216.240234
0.12,0.143,0.737,12268.629883,12268.629883
0.119,0.164,0.717,12234.339844,12234.339844
0.088,0.175,0.737,12114.099609,12114.099609
0.111,0.206,0.683,12092.869791333334,12092.869791333334
0.05,0.178,0.772,12071.639973666664,12071.639973666664
0.068,0.115,0.817,12050.410156,12050.410156
0.074,0.111,0.815,12207.589844,12207.589844
0.087,0.145,0.768,12192.450195,12192.450195
0.076,0.155,0.768,12260.700195,12260.700195
0.092,0.135,0.773,12276.320312,12276.320312
0.085,0.142,0.773,12290.420247,12290.420247
0.078,0.136,0.786,12304.520181999998,12304.520181999998
0.111,0.165,0.724,12318.620117,12318.620117
0.083,0.142,0.775,12075.959961,12075.959961
0.059,0.105,0.837,12133.400391,12133.400391
0.077,0.213,0.71,12159.679688,12159.679688
0.075,0.17,0.755,12110.410156,12110.410156
0.081,0.182,0.737,12148.996744666667,12148.996744666667
0.073,0.116,0.811,12187.583333333332,12187.583333333332
0.082,0.185,0.732,12226.169922,12226.169922
0.075,0.15,0.775,12288.099609,12288.099609
0.086,0.129,0.785,12447.519531,12447.519531
0.081,0.141,0.778,12461.139648,12461.139648
0.09,0.109,0.801,12481.009766,12481.009766
0.07,0.157,0.773,12477.029948000001,12477.029948000001
0.114,0.109,0.777,12473.05013,12473.05013
0.1,0.124,0.776,12469.070312,12469.070312
0.094,0.128,0.778,12397.290039,12397.290039
0.08,0.187,0.732,12300.360352,12300.360352
0.074,0.121,0.805,12348.75,12348.75
0.087,0.131,0.782,12354.349609,12354.349609
0.083,0.137,0.779,12363.666341,12363.666341
0.093,0.113,0.794,12372.983073,12372.983073
0.084,0.107,0.808,12382.299805,12382.299805
0.108,0.121,0.771,12510.299805,12510.299805
0.087,0.096,0.817,12530.049805,12530.049805
0.098,0.122,0.78,12560.200195,12560.200195
0.08,0.158,0.762,12562.43505825,12562.43505825
0.089,0.127,0.785,12564.6699215,12564.6699215
0.095,0.129,0.776,12566.90478475,12566.90478475
0.072,0.1,0.828,12569.139648,12569.139648
0.105,0.121,0.775,12573.849609,12573.849609
0.086,0.146,0.768,12484.620117,12484.620117
0.052,0.126,0.821,12552.959961,12552.959961
0.081,0.12,0.799,12612.129883,12612.129883
0.058,0.153,0.789,12648.239909,12648.239909
0.09,0.198,0.712,12684.349935,12684.349935
0.105,0.142,0.752,12720.459961,12720.459961
0.09,0.125,0.784,12773.040039,12773.040039
0.116,0.156,0.729,12803.839844,12803.839844
0.11,0.147,0.743,12808.629883,12808.629883
0.118,0.192,0.69,12961.980469,12961.980469
0.088,0.169,0.743,12947.787109666666,12947.787109666666
0.085,0.181,0.735,12933.593750333332,12933.593750333332
0.052,0.122,0.826,12919.400391,12919.400391
0.103,0.161,0.736,12953.94043,12953.94043
0.119,0.173,0.708,13089.889648,13089.889648
0.108,0.151,0.741,13105.5,13105.5
0.091,0.11,0.799,13120.94043,13120.94043
0.084,0.131,0.784,13101.597005333333,13101.597005333333
0.091,0.116,0.793,13082.253580666667,13082.253580666667
0.126,0.145,0.729,13062.910156,13062.910156
0.077,0.122,0.801,13136.139648,13136.139648
0.124,0.103,0.772,13211.879883,13211.879883
0.105,0.14,0.755,13241.379883,13241.379883
0.084,0.111,0.804,13264.620117,13264.620117
0.083,0.138,0.778,13280.736653666667,13280.736653666667
0.079,0.179,0.742,13296.853190333333,13296.853190333333
0.107,0.151,0.742,13312.969727,13312.969727
0.11,0.184,0.705,13309.070312,13309.070312
0.091,0.169,0.739,13362.870117,13362.870117
0.077,0.117,0.805,13215.129883,13215.129883
0.079,0.126,0.795,13326.219727,13326.219727
0.07,0.166,0.764,13333.073242333336,13333.073242333336
0.12,0.161,0.72,13339.926757666664,13339.926757666664
0.066,0.14,0.794,13346.780273,13346.780273
0.076,0.147,0.777,13383.839844,13383.839844
0.049,0.13,0.821,13487.530272999998,13487.530272999998
0.103,0.15,0.747,13476.719727000002,13476.719727000002
0.055,0.143,0.802,13556.530272999998,13556.530272999998
0.096,0.097,0.807,13551.980143,13551.980143
0.11,0.212,0.678,13547.430013,13547.430013
0.088,0.126,0.786,13542.879883000001,13542.879883000001
0.078,0.2,0.722,13539.950195,13539.950195
0.083,0.143,0.774,13525.650391,13525.650391
0.109,0.182,0.709,13441.129883000001,13441.129883000001
0.094,0.097,0.809,13507.280272999998,13507.280272999998
0.094,0.179,0.727,13510.79516575,13510.79516575
0.098,0.15,0.753,13514.310058500001,13514.310058500001
0.097,0.194,0.709,13517.82495125,13517.82495125
0.101,0.15,0.749,13521.339844,13521.339844
0.076,0.101,0.824,13633.080078,13633.080078
0.093,0.157,0.751,13627.639647999998,13627.639647999998
0.071,0.107,0.822,13668.110352000002,13668.110352000002
0.078,0.162,0.76,13670.847005333333,13670.847005333333
0.108,0.217,0.675,13673.583658666665,13673.583658666665
0.049,0.128,0.823,13676.320312,13676.320312
0.088,0.121,0.791,13595.459961000002,13595.459961000002
0.072,0.142,0.787,13465.669922,13465.669922
0.074,0.098,0.828,13266.730469,13266.730469
0.103,0.12,0.777,13424.389647999998,13424.389647999998
0.112,0.187,0.701,13424.579752333333,13424.579752333333
0.122,0.159,0.719,13424.769856666668,13424.769856666668
0.093,0.075,0.831,13424.959961000002,13424.959961000002
0.108,0.155,0.737,13295.009766,13295.009766
0.098,0.151,0.751,13482.349609,13482.349609
0.09,0.179,0.731,13553.730469,13553.730469
0.082,0.144,0.774,13639.480469,13639.480469
0.104,0.156,0.74,13630.647135666664,13630.647135666664
0.09,0.146,0.765,13621.813802333336,13621.813802333336
0.126,0.145,0.729,13612.980469,13612.980469
0.094,0.135,0.772,13635.419922,13635.419922
0.119,0.109,0.772,13489.419922,13489.419922
0.093,0.122,0.784,13545.839844,13545.839844
0.067,0.1,0.833,13360.259766,13360.259766
0.084,0.204,0.712,13357.523112333332,13357.523112333332
0.113,0.16,0.727,13354.786458666667,13354.786458666667
0.082,0.094,0.824,13352.049805,13352.049805
0.081,0.092,0.826,13337.660156,13337.660156
0.105,0.121,0.774,13427.730469,13427.730469
0.096,0.133,0.771,13422.280272999998,13422.280272999998
0.103,0.186,0.711,13408.620117,13408.620117
0.095,0.214,0.69,13450.889974000002,13450.889974000002
0.08,0.152,0.768,13493.159831,13493.159831
0.11,0.136,0.754,13535.429688,13535.429688
0.064,0.097,0.839,13577.299805,13577.299805
0.094,0.134,0.773,13571.5698245,13571.5698245
0.085,0.113,0.802,13565.839844,13565.839844
0.063,0.123,0.815,13611.679688,13611.679688
0.101,0.162,0.737,13624.443034333333,13624.443034333333
0.116,0.197,0.687,13637.206380666668,13637.206380666668
0.067,0.145,0.789,13649.969727000002,13649.969727000002
0.091,0.147,0.762,13501.700195,13501.700195
0.043,0.164,0.794,13577.870116999999,13577.870116999999
0.066,0.118,0.816,13861.730469,13861.730469
0.106,0.142,0.752,13907.25,13907.25
0.064,0.197,0.739,13921.826823,13921.826823
0.148,0.138,0.714,13936.403646,13936.403646
0.1,0.159,0.741,13950.980469,13950.980469
0.091,0.123,0.786,13971.549805,13971.549805
0.106,0.114,0.78,13918.219727000002,13918.219727000002
0.112,0.144,0.743,14000.410156,14000.410156
0.114,0.142,0.744,13851.080078,13851.080078
0.076,0.12,0.805,13881.860025999998,13881.860025999998
0.118,0.135,0.747,13912.639974000002,13912.639974000002
0.08,0.085,0.836,13943.419922,13943.419922
0.149,0.125,0.726,13716.950195,13716.950195
0.114,0.149,0.736,13785.070312,13785.070312
0.138,0.13,0.732,13473.570312,13473.570312
0.109,0.181,0.71,13265.469727,13265.469727
0.045,0.166,0.79,13296.416341333335,13296.416341333335
0.104,0.122,0.774,13327.362955666666,13327.362955666666
0.112,0.096,0.792,13358.30957,13358.30957
0.101,0.155,0.744,13211.990234,13211.990234
0.107,0.15,0.743,13362.370117,13362.370117
0.096,0.135,0.769,13463.330078,13463.330078
0.1,0.114,0.785,13181.910156,13181.910156
0.09,0.152,0.759,13277.533528333333,13277.533528333333
0.071,0.115,0.814,13373.156900666667,13373.156900666667
0.073,0.132,0.796,13468.780272999998,13468.780272999998
0.115,0.13,0.755,13504.299805,13504.299805
0.123,0.179,0.697,13657.860352000002,13657.860352000002
0.136,0.127,0.737,13270.679688,13270.679688
0.077,0.139,0.783,13239.540039,13239.540039
0.084,0.129,0.787,13238.536783666665,13238.536783666665
0.098,0.141,0.76,13237.533528333333,13237.533528333333
0.059,0.116,0.826,13236.530273,13236.530273
0.101,0.169,0.73,13028.919922,13028.919922
0.082,0.141,0.777,12861.469727,12861.469727
0.104,0.146,0.75,12845.780273,12845.780273
0.075,0.119,0.806,13079.080078,13079.080078
0.116,0.185,0.698,13093.169921666668,13093.169921666668
0.067,0.101,0.831,13107.259765333334,13107.259765333334
0.083,0.125,0.792,13121.349609,13121.349609
0.072,0.135,0.794,13090.860352,13090.860352
0.078,0.132,0.79,13236.129883,13236.129883
0.063,0.108,0.829,13235.879883,13235.879883
0.09,0.147,0.762,13378.870117,13378.870117
0.078,0.192,0.73,13359.956705666667,13359.956705666667
0.086,0.162,0.752,13341.043294333333,13341.043294333333
0.111,0.183,0.706,13322.129883,13322.129883
0.103,0.131,0.766,13041.849609,13041.849609
0.071,0.148,0.78,13289.290039,13289.290039
0.062,0.122,0.815,13238.730469,13238.730469
0.093,0.178,0.729,13357.740234,13357.740234
0.082,0.185,0.733,13380.5202635,13380.5202635
0.069,0.155,0.776,13403.300293,13403.300293
0.111,0.151,0.738,13426.0803225,13426.0803225
0.085,0.113,0.802,13448.860352000002,13448.860352000002
0.063,0.142,0.795,13305.469727,13305.469727
0.071,0.117,0.812,13363.349609,13363.349609
0.108,0.177,0.714,13113.379883,13113.379883
0.059,0.155,0.786,13118.203125,13118.203125
0.071,0.187,0.742,13123.026367,13123.026367
0.08,0.158,0.763,13127.849609,13127.849609
0.069,0.148,0.783,13308.389648,13308.389648
0.092,0.131,0.777,13291.650391,13291.650391
0.11,0.137,0.753,13424.879883000001,13424.879883000001
0.084,0.118,0.798,13442.519531,13442.519531
0.116,0.201,0.683,13429.486328,13429.486328
0.086,0.129,0.785,13416.453125,13416.453125
0.081,0.132,0.787,13403.419922,13403.419922
0.074,0.11,0.816,13739.389647999998,13739.389647999998
0.101,0.129,0.77,13815.55957,13815.55957
0.118,0.154,0.728,13766.700195,13766.700195
0.133,0.11,0.758,13820.19043,13820.19043
0.076,0.161,0.763,13799.813476666664,13799.813476666664
0.143,0.124,0.733,13779.436523333336,13779.436523333336
0.122,0.108,0.77,13759.05957,13759.05957
0.101,0.131,0.768,13778.650391,13778.650391
0.08,0.103,0.816,13878.150391,13878.150391
0.105,0.148,0.747,13912.94043,13912.94043
0.075,0.098,0.827,13895.629883000001,13895.629883000001
0.098,0.216,0.686,13959.603190333333,13959.603190333333
0.149,0.119,0.733,14023.576497666667,14023.576497666667
0.11,0.106,0.785,14087.549805,14087.549805
0.088,0.121,0.791,14047.30957,14047.30957
0.104,0.115,0.78,13968.049805,13968.049805
0.108,0.136,0.756,13974.30957,13974.30957
0.07,0.153,0.776,14066.009766,14066.009766
0.1,0.175,0.725,14058.583333666666,14058.583333666666
0.082,0.149,0.769,14051.156901333336,14051.156901333336
0.085,0.14,0.775,14043.730469,14043.730469
0.072,0.111,0.817,14164.530272999998,14164.530272999998
0.077,0.107,0.817,14078.69043,14078.69043
0.106,0.118,0.777,14015.120116999999,14015.120116999999
0.092,0.202,0.707,14093.080078,14093.080078
0.161,0.151,0.688,14056.986653666667,14056.986653666667
0.117,0.171,0.712,14020.893229333335,14020.893229333335
0.144,0.111,0.745,13984.799805,13984.799805
0.086,0.128,0.786,13912.94043,13912.94043
0.122,0.152,0.726,13892.540038999998,13892.540038999998
0.103,0.111,0.786,13888.959961000002,13888.959961000002
0.125,0.126,0.749,13522.019531,13522.019531
0.111,0.173,0.716,13537.002929666667,13537.002929666667
0.054,0.169,0.777,13551.986328333332,13551.986328333332
0.139,0.129,0.732,13566.969727000002,13566.969727000002
0.093,0.09,0.816,13676.230469,13676.230469
